WaitType,Time,MillisecondsWaiting
Buffer IO,2018-01-13T02:00:00Z,15498
Buffer Latch,2018-01-13T02:00:00Z,6546
CPU,2018-01-13T02:00:00Z,1222303
Latch,2018-01-13T02:00:00Z,2121
Lock,2018-01-13T02:00:00Z,90044
Memory,2018-01-13T02:00:00Z,22566
Network IO,2018-01-13T02:00:00Z,173
OTHER,2018-01-13T02:00:00Z,52911226
Other Disk IO,2018-01-13T02:00:00Z,40451
Parallelism,2018-01-13T02:00:00Z,3671781
Preemptive,2018-01-13T02:00:00Z,38858
Replication,2018-01-13T02:00:00Z,0
SQL CLR,2018-01-13T02:00:00Z,0
Service Broker,2018-01-13T02:00:00Z,0
Tracing,2018-01-13T02:00:00Z,203
Tran Log IO,2018-01-13T02:00:00Z,469989
Transaction,2018-01-13T02:00:00Z,0
Worker Thread,2018-01-13T02:00:00Z,21
Buffer IO,2018-01-13T03:00:00Z,9330
Buffer Latch,2018-01-13T03:00:00Z,4561
CPU,2018-01-13T03:00:00Z,1291639
Latch,2018-01-13T03:00:00Z,14399
Lock,2018-01-13T03:00:00Z,59097
Memory,2018-01-13T03:00:00Z,18159
Network IO,2018-01-13T03:00:00Z,34
OTHER,2018-01-13T03:00:00Z,54018935
Other Disk IO,2018-01-13T03:00:00Z,209826
Parallelism,2018-01-13T03:00:00Z,636074
Preemptive,2018-01-13T03:00:00Z,50285
Replication,2018-01-13T03:00:00Z,0
SQL CLR,2018-01-13T03:00:00Z,0
Service Broker,2018-01-13T03:00:00Z,0
Tracing,2018-01-13T03:00:00Z,252
Tran Log IO,2018-01-13T03:00:00Z,479431
Transaction,2018-01-13T03:00:00Z,0
Worker Thread,2018-01-13T03:00:00Z,198
Buffer IO,2018-01-13T04:00:00Z,7485
Buffer Latch,2018-01-13T04:00:00Z,8598
CPU,2018-01-13T04:00:00Z,1254652
Latch,2018-01-13T04:00:00Z,1096
Lock,2018-01-13T04:00:00Z,111891
Memory,2018-01-13T04:00:00Z,15460
Network IO,2018-01-13T04:00:00Z,50
OTHER,2018-01-13T04:00:00Z,53358535
Other Disk IO,2018-01-13T04:00:00Z,15862
Parallelism,2018-01-13T04:00:00Z,664064
Preemptive,2018-01-13T04:00:00Z,48569
Replication,2018-01-13T04:00:00Z,0
SQL CLR,2018-01-13T04:00:00Z,0
Service Broker,2018-01-13T04:00:00Z,0
Tracing,2018-01-13T04:00:00Z,127
Tran Log IO,2018-01-13T04:00:00Z,469732
Transaction,2018-01-13T04:00:00Z,0
Worker Thread,2018-01-13T04:00:00Z,1
Buffer IO,2018-01-13T05:00:00Z,8424
Buffer Latch,2018-01-13T05:00:00Z,5739
CPU,2018-01-13T05:00:00Z,1428195
Latch,2018-01-13T05:00:00Z,856
Lock,2018-01-13T05:00:00Z,129110
Memory,2018-01-13T05:00:00Z,16121
Network IO,2018-01-13T05:00:00Z,218
OTHER,2018-01-13T05:00:00Z,53852125
Other Disk IO,2018-01-13T05:00:00Z,14336
Parallelism,2018-01-13T05:00:00Z,624524
Preemptive,2018-01-13T05:00:00Z,47070
Replication,2018-01-13T05:00:00Z,0
SQL CLR,2018-01-13T05:00:00Z,0
Service Broker,2018-01-13T05:00:00Z,0
Tracing,2018-01-13T05:00:00Z,278
Tran Log IO,2018-01-13T05:00:00Z,444292
Transaction,2018-01-13T05:00:00Z,0
Worker Thread,2018-01-13T05:00:00Z,65
Buffer IO,2018-01-13T06:00:00Z,71801
Buffer Latch,2018-01-13T06:00:00Z,5895
CPU,2018-01-13T06:00:00Z,1320263
Latch,2018-01-13T06:00:00Z,136945
Lock,2018-01-13T06:00:00Z,119718
Memory,2018-01-13T06:00:00Z,14963
Network IO,2018-01-13T06:00:00Z,456
OTHER,2018-01-13T06:00:00Z,52670053
Other Disk IO,2018-01-13T06:00:00Z,13279
Parallelism,2018-01-13T06:00:00Z,726036
Preemptive,2018-01-13T06:00:00Z,32821
Replication,2018-01-13T06:00:00Z,0
SQL CLR,2018-01-13T06:00:00Z,0
Service Broker,2018-01-13T06:00:00Z,0
Tracing,2018-01-13T06:00:00Z,279
Tran Log IO,2018-01-13T06:00:00Z,888416
Transaction,2018-01-13T06:00:00Z,0
Worker Thread,2018-01-13T06:00:00Z,37
Buffer IO,2018-01-13T07:00:00Z,152669
Buffer Latch,2018-01-13T07:00:00Z,5072
CPU,2018-01-13T07:00:00Z,1329540
Latch,2018-01-13T07:00:00Z,520460
